--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
3023.875  012.058  001.498: require('mason-core.fetch')
3027.876  003.982  003.982: require('mason-core.providers')
3036.674  002.218  002.218: require('mason-core.purl')
3036.684  003.979  001.761: require('mason-core.package.AbstractPackage')
3045.166  001.989  001.989: require('mason-core.installer.compiler.expr')
3045.202  004.546  002.557: require('mason-core.installer.compiler.link')
3059.956  004.554  004.554: require('mason-core.installer.context.InstallContextCwd')
3061.981  002.021  002.021: require('mason-core.installer.context.InstallContextFs')
3063.877  001.894  001.894: require('mason-core.installer.context.InstallContextSpawn')
3066.922  003.041  003.041: require('mason-core.receipt')
3066.939  013.761  002.250: require('mason-core.installer.context')
3066.941  017.502  003.741: require('mason-core.installer')
3066.957  019.720  002.219: require('mason-core.installer.managers.std')
3066.959  021.756  002.035: require('mason-core.installer.compiler.schemas')
3069.070  002.002  002.002: require('mason-core.installer.compiler.util')
3069.085  030.455  002.152: require('mason-core.installer.compiler')
3071.964  002.877  002.877: require('mason-core.installer.linker')
3071.969  035.283  001.951: require('mason-core.installer.InstallRunner')
3073.738  001.768  001.768: require('mason-core.installer.UninstallRunner')
3073.745  043.227  002.197: require('mason-core.package')
3073.747  045.869  002.642: require('mason-registry.sources.util')
3073.756  067.034  002.232: require('mason-registry.sources.github')
3086.995  001.592  001.592: require('mason-lspconfig.mappings')
3086.999  003.485  001.893: require('mason-lspconfig.features.automatic_enable')
3127.892  005.263  005.263: require('mason-lspconfig.lsp.volar')
3140.365  002.032  002.032: require('mason-lspconfig.notify')
3140.425  005.414  003.382: require('mason-lspconfig.api.command')
3146.468  002.180  002.180: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/plugin/editorconfig.lua
3150.458  001.936  001.936: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/plugin/man.lua
3155.980  000.152  000.152: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
3156.016  004.007  003.855: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/plugin/matchit.vim
3159.180  000.108  000.108: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/plugin/matchparen.vim
3162.669  001.669  001.669: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/plugin/osc52.lua
3165.089  000.065  000.065: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/plugin/shada.vim
3168.669  000.043  000.043: sourcing /opt/homebrew/Cellar/neovim/HEAD-3fdc430/share/nvim/runtime/plugin/spellfile.vim
3168.848  3118.307  2740.227: require('plugins')
3169.063  3141.624  003.473: require('root')
3169.065  3141.726  000.102: sourcing /Users/t002451/.config/nvim/init.lua
3169.089  012.165: sourcing vimrc file(s)
